,Close
2020-05-15,15.7
2020-05-16,16.04
2020-05-17,16.29
2020-05-18,16.63
2020-05-19,17.21
2020-05-20,16.88
2020-05-21,16.1
2020-05-22,16.58
2020-05-23,16.49
2020-05-24,15.95
2020-05-25,16.38
2020-05-26,16.21
2020-05-27,16.46
2020-05-28,17.1
2020-05-29,16.99
2020-05-30,17.75
2020-05-31,17.09
2020-06-01,17.93
2020-06-02,17.28
2020-06-03,17.58
2020-06-04,17.5
2020-06-05,17.65
2020-06-06,17.53
2020-06-07,17.45
2020-06-08,17.42
2020-06-09,17.39
2020-06-10,17.44
2020-06-11,16.22
2020-06-12,16.61
2020-06-13,16.84
2020-06-14,16.54
2020-06-15,16.36
2020-06-16,16.4
2020-06-17,16.36
2020-06-18,16.13
2020-06-19,15.96
2020-06-20,16.07
2020-06-21,15.93
2020-06-22,16.49
2020-06-23,16.39
2020-06-24,15.99
2020-06-25,15.9
2020-06-26,15.76
2020-06-27,15.12
2020-06-28,15.39
2020-06-29,15.48
2020-06-30,15.4
2020-07-01,15.83
2020-07-02,15.37
2020-07-03,15.29
2020-07-04,15.57
2020-07-05,15.5
2020-07-06,16.31
2020-07-07,16.79
2020-07-08,17.26
2020-07-09,16.83
2020-07-10,17.3
2020-07-11,17.62
2020-07-12,18.31
2020-07-13,18.4
2020-07-14,18.1
2020-07-15,17.6
2020-07-16,17.15
2020-07-17,17.08
2020-07-18,17.16
2020-07-19,18.01
2020-07-20,17.48
2020-07-21,17.73
2020-07-22,18.12
2020-07-23,18.78
2020-07-24,19.2
2020-07-25,19.82
2020-07-26,19.58
2020-07-27,19.78
2020-07-28,20.19
2020-07-29,19.9
2020-07-30,20.0
2020-07-31,20.68
2020-08-01,21.63
2020-08-02,20.95
2020-08-03,22.08
2020-08-04,22.31
2020-08-05,23.29
2020-08-06,22.75
2020-08-07,22.34
2020-08-08,22.93
2020-08-09,22.45
2020-08-10,22.64
2020-08-11,21.24
2020-08-12,21.52
2020-08-13,21.8
2020-08-14,23.13
2020-08-15,23.03
2020-08-16,23.53
2020-08-17,23.54
2020-08-18,23.0
2020-08-19,22.38
2020-08-20,23.1
2020-08-21,22.06
2020-08-22,22.22
2020-08-23,21.85
2020-08-24,22.61
2020-08-25,21.41
2020-08-26,22.22
2020-08-27,23.13
2020-08-28,23.09
2020-08-29,22.97
2020-08-30,23.64
2020-08-31,23.15
2020-09-01,24.74
2020-09-02,24.71
2020-09-03,20.37
2020-09-04,21.03
2020-09-05,19.49
2020-09-06,23.18
2020-09-07,22.46
2020-09-08,23.26
2020-09-09,24.52
2020-09-10,24.51
2020-09-11,25.42
2020-09-12,28.53
2020-09-13,31.18
2020-09-14,31.16
2020-09-15,27.11
2020-09-16,27.85
2020-09-17,27.1
2020-09-18,27.67
2020-09-19,27.2
2020-09-20,26.37
2020-09-21,23.02
2020-09-22,24.05
2020-09-23,22.82
